Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
E2F transcription factor network Homo sapiens bb4d0fd3-6191-11e5-8ac5-06603eb7f303	7/72	1.067185803894641E-7	4.241963925986515E-6	0	0	21.57000777000777	346.2648566483803	RRM2;CDK1;E2F2;MYBL2;BRCA1;CDC6;TYMS
PLK1 signaling events Homo sapiens e5e87977-6194-11e5-8ac5-06603eb7f303	6/46	1.5149871164237556E-7	4.241963925986515E-6	0	0	29.781	467.6417726525025	CENPU;CDK1;CLSPN;KIF20A;TUBG1;NDC80
Validated nuclear estrogen receptor alpha network Homo sapiens 58949883-6196-11e5-8ac5-06603eb7f303	4/64	3.708999435591739E-4	0.006923465613104579	0	0	12.963398692810458	102.40538204403322	SMAD4;PCNA;LMO4;BRCA1
ATR signaling pathway Homo sapiens 8991cbac-618b-11e5-8ac5-06603eb7f303	3/39	0.001151099141388825	0.01289231038355484	0	0	16.066343042071196	108.72155417509774	RFC2;CLSPN;CDC6
Aurora B signaling Homo sapiens 304a75af-618c-11e5-8ac5-06603eb7f303	3/39	0.001151099141388825	0.01289231038355484	0	0	16.066343042071196	108.72155417509774	KIF20A;AURKB;NDC80
Regulation of cytoplasmic and nuclear SMAD2/3 signaling Homo sapiens 13312fe2-6195-11e5-8ac5-06603eb7f303	2/17	0.003592753073271419	0.03353236201719991	0	0	25.485897435897435	143.45594966129724	SMAD4;NUP153
Validated targets of C-MYC transcriptional repression Homo sapiens 6bbdafa6-6196-11e5-8ac5-06603eb7f303	3/63	0.004562650338549826	0.03650120270839861	0	0	9.628155339805826	51.89432855670723	SMAD4;BRCA1;S100A7
Canonical NF-kappaB pathway Homo sapiens 7a1a9c3c-618f-11e5-8ac5-06603eb7f303	2/23	0.0065467215206253225	0.045827050644377254	0	0	18.19871794871795	91.51754695457254	NOD2;TNF
BARD1 signaling events Homo sapiens 75b04491-618c-11e5-8ac5-06603eb7f303	2/29	0.010291196696542082	0.06403411277848406	0	0	14.1502849002849	64.75830394643451	PCNA;BRCA1
Aurora A signaling Homo sapiens f131cf8e-618b-11e5-8ac5-06603eb7f303	2/31	0.01170603512032248	0.06555379667380588	0	0	13.173076923076923	58.589245429320336	BRCA1;AURKB
