Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL2790 (PTEN)	14/442	8.962115310459871E-8	9.611782135818908E-5	0	0	6.921068671271841	112.31284932012517	TOP2A;RRM2;RFC2;ATAD2;NUP153;MKI67;LMNB2;AURKB;KIFC1;NUSAP1;KIF20A;CLSPN;CCT7;PFKP
BL2310 (MLLT3)	13/385	1.2868994549298565E-7	9.611782135818908E-5	0	0	7.335703549543299	116.38724441082006	TOP2A;FEN1;PAXIP1;RRM2;RFC2;NUP153;MKI67;ESPL1;KIFC1;RAD21;ZNF516;POLR1E;CCT7
BL2453 (ZFPM2)	11/277	2.561507366610688E-7	9.611782135818908E-5	0	0	8.54404432132964	129.67723055667807	TOP2A;FEN1;PAXIP1;RRM2;RFC2;KIFC1;RAD21;NUP153;MKI67;CCT7;PFKP
BL5398 (FAM175B)	14/492	3.3016382483435926E-7	9.611782135818908E-5	0	0	6.181189739858104	92.24607832989152	TOP2A;FEN1;RRM2;RFC2;NUP153;MKI67;TUBG1;IQGAP3;KIFC1;RAD21;POLR1E;KIF20A;CCT7;PFKP
BL6436 (CCNL2)	11/285	3.4023231709987584E-7	9.611782135818908E-5	0	0	8.291202458701498	123.48616109871539	TOP2A;PAXIP1;RRM2;RFC2;KIFC1;POLR1E;NUP153;KIF20A;MKI67;CCT7;LMNB2
BL2454 (ZFPM2)	11/286	3.5229500803245846E-7	9.611782135818908E-5	0	0	8.260631578947368	122.74304707366292	TOP2A;FEN1;PAXIP1;RRM2;RFC2;KIFC1;RAD21;NUP153;MKI67;CCT7;SYNE2
BL586 (FEN1)	12/362	4.927803317599827E-7	1.1524020044158453E-4	0	0	7.128510638297873	103.52880235949604	TOP2A;FEN1;PAXIP1;PCNA;RRM2;RFC2;KIFC1;NUP153;KIF20A;MKI67;TUBG1;CCT7
BL3936 (PPP5C)	10/239	5.746355628793262E-7	1.1645856987492132E-4	0	0	8.94514192139738	128.53748341168725	TOP2A;RRM2;NASP;RFC2;KIFC1;KIF4A;POLR1E;KIF20A;CCT7;PFKP
BL5646 (ANKIB1)	8/136	6.402731392023775E-7	1.1645856987492132E-4	0	0	12.605867346938776	179.7769506538973	TOP2A;FEN1;NASP;RFC2;KIFC1;WDR62;CCT7;PFKP
BL4457 (AATF)	11/314	8.860492152423395E-7	1.4504625653517097E-4	0	0	7.486572867813097	104.33657291324761	TOP2A;FEN1;PAXIP1;RRM2;RFC2;KIFC1;RAD21;KIF4A;NUP153;CCT7;PFKP
BL1002 (ATF7IP)	10/254	1.0003880273828632E-6	1.4887592734779518E-4	0	0	8.388831967213115	115.89274214687744	TOP2A;FEN1;PCNA;RFC2;KIFC1;POLR1E;NUP153;KIF20A;MKI67;CCT7
BL4398 (ARFGEF2)	10/258	1.1525002502307854E-6	1.5722024246898295E-4	0	0	8.25184811827957	112.83227935819833	TOP2A;FEN1;PAXIP1;RFC2;KIFC1;KIF4A;NUP153;MKI67;CCT7;PFKP
CBC751 (USP9X)	8/149	1.2794509845712486E-6	1.6111240474947185E-4	0	0	11.436097843392677	155.17732069639518	TOP2A;RFC2;KIFC1;POLR1E;KIF20A;MKI67;TYMS;PFKP
CBC692 (GTPBP3)	8/158	1.9886729073684854E-6	2.2753517888431465E-4	0	0	10.745034013605443	141.0612688078827	TOP2A;RFC2;POLR1E;NUP153;MKI67;CCT7;LMNB2;PFKP
BL2156 (USP34)	8/159	2.0849283343095416E-6	2.2753517888431465E-4	0	0	10.673334234355995	139.61549509685028	TOP2A;FEN1;RRM2;RFC2;KIFC1;NUP153;LRRFIP2;MKI67
BL4839 (WDHD1)	9/219	2.5144262687044256E-6	2.3861872471945004E-4	0	0	8.696907216494845	112.13327666797447	TOP2A;FEN1;PCNA;RRM2;RFC2;KIFC1;MKI67;CCT7;PFKP
BL2032 (RFWD2)	11/351	2.614471539304431E-6	2.3861872471945004E-4	0	0	6.659256965944272	85.60107617708542	FEN1;PAXIP1;RRM2;RFC2;KIFC1;NDE1;NUP153;LRRFIP2;TUBG1;CCT7;PFKP
BL7111 (SATB2)	10/285	2.8175259794043697E-6	2.3861872471945004E-4	0	0	7.431439393939394	94.97120463439967	TOP2A;FEN1;RRM2;RFC2;KIFC1;NUP153;MKI67;CCT7;PFKP;PPM1G
BL6398 (BCAR3)	8/166	2.8764759960227535E-6	2.3861872471945004E-4	0	0	10.196848359597004	130.1010235750605	TOP2A;FEN1;RFC2;KIFC1;POLR1E;MYBL2;MKI67;CCT7
BL129 (MSH6)	11/355	2.915317345381186E-6	2.3861872471945004E-4	0	0	6.5804773561811505	83.87168391400112	TOP2A;FEN1;PCNA;RRM2;RFC2;KIFC1;NUSAP1;POLR1E;NUP153;MKI67;CCT7
BL4168 (DTL)	10/288	3.0929039359094043E-6	2.4109922586112832E-4	0	0	7.350119904076738	93.24656205729154	TOP2A;FEN1;PCNA;RFC2;KIFC1;POLR1E;NUP153;MKI67;TUBG1;CCT7
a-BRCC36 (BRCC3)	12/436	3.4274768678540822E-6	2.4449541417325836E-4	0	0	5.8621035728623045	73.766871683418	TOP2A;FEN1;RRM2;RFC2;KIFC1;RAD21;NUP153;CLSPN;BRCA1;MKI67;CCT7;PFKP
BL7513 (ORC1L)	8/172	3.745456727778277E-6	2.4449541417325836E-4	0	0	9.82080637132902	122.71065144210539	TOP2A;FEN1;RFC2;POLR1E;MYBL2;MKI67;CCT7;S100A7
BL2791 (PTEN)	12/441	3.851639039342668E-6	2.4449541417325836E-4	0	0	5.792292813569409	72.21258271539064	TOP2A;FEN1;RRM2;RFC2;KIFC1;ATAD2;NUSAP1;NUP153;MKI67;CCT7;LMNB2;PFKP
BL2768 (PRMT2)	9/233	4.173069839486539E-6	2.4449541417325836E-4	0	0	8.147551546391753	100.92256910803974	TOP2A;FEN1;RFC2;KIFC1;NUSAP1;POLR1E;MKI67;CCT7;TNF
BL6998 (ZKSCAN1)	10/298	4.187010990354614E-6	2.4449541417325836E-4	0	0	7.0912905092592595	87.81516228419933	TOP2A;PCNA;RFC2;KIFC1;POLR1E;NUP153;KIF20A;MKI67;LMNB2;PFKP
BL7502 (VPRBP)	11/369	4.22101104747458E-6	2.4449541417325836E-4	0	0	6.318612172890326	78.19557975766442	TOP2A;TBC1D1;FEN1;RFC2;KIFC1;POLR1E;NUP153;MKI67;CCT7;SYNE2;PFKP
BL1966 (RANBP1)	10/299	4.312952440455221E-6	2.4449541417325836E-4	0	0	7.0663927335640135	87.2974234573265	TOP2A;FEN1;RRM2;RFC2;KIFC1;NUP153;MKI67;CCT7;POLE;PFKP
BL3434 (CRTC1)	11/370	4.331317660980142E-6	2.4449541417325836E-4	0	0	6.300689048526609	77.81123364143582	TOP2A;FEN1;PAXIP1;RRM2;RFC2;KIFC1;RAD21;NUP153;MKI67;CCT7;PFKP
BL1686 (BUB3)	9/236	4.630597856279671E-6	2.5267628969099403E-4	0	0	8.03864843998365	98.73730858089208	TOP2A;FEN1;RRM2;RFC2;KIFC1;NUP153;KIF20A;CDC6;MKI67
BL4927 (TRIM37)	8/178	4.827690433475668E-6	2.549332012774087E-4	0	0	9.471308523409364	115.93963612002214	TOP2A;PAXIP1;RFC2;KIFC1;ATAD2;NUP153;MKI67;PFKP
BL1550 (HIPK2)	9/241	5.489020807009424E-6	2.8079772065857584E-4	0	0	7.86340206185567	95.24750728802428	TOP2A;RFC2;KIFC1;POLR1E;NUP153;KIF20A;MKI67;CCT7;SYNE2
BL4911 (PML)	11/382	5.865686953443224E-6	2.8881315793832297E-4	0	0	6.093147964250249	73.40044252466635	TOP2A;FEN1;PAXIP1;RFC2;KIFC1;RAD21;MKI67;CCT7;IQGAP3;SYNE2;PFKP
BL269 (MCM8)	8/184	6.164006612489506E-6	2.8881315793832297E-4	0	0	9.145640074211503	109.71826455883348	TOP2A;FEN1;RFC2;KIFC1;POLR1E;CCT7;LMNB2;PFKP
BL1799 (BCL11B)	10/312	6.2755788168651085E-6	2.8881315793832297E-4	0	0	6.757726269315674	80.94975442070486	TOP2A;FEN1;RRM2;RFC2;KIFC1;NUP153;KIF20A;CCT7;PFKP;S100A7
BL8108 (RAD54L2)	13/546	6.351419478179369E-6	2.8881315793832297E-4	0	0	5.077629163388408	60.76313632528865	TOP2A;FEN1;PCNA;RRM2;RFC2;HMGB2;NUP153;CDC6;MKI67;KIFC1;POLR1E;CCT7;PFKP
BL2460 (DDX17)	7/133	6.920128424297348E-6	3.061689251506691E-4	0	0	11.093153759820426	131.798605452452	TOP2A;RFC2;KIFC1;RAD21;NUP153;CDC6;MKI67
BL2593 (RPL7A)	9/251	7.621855970148864E-6	3.2834153218772873E-4	0	0	7.53463406321888	88.7918246864037	TOP2A;CHAF1B;CHAF1A;RRM2;RFC2;RAD21;NUP153;MKI67;AURKB
BL1424 (FOXO1)	10/322	8.27225204170367E-6	3.4722247672484374E-4	0	0	6.537793803418803	76.5092104205519	TOP2A;PAXIP1;RRM2;RFC2;KIFC1;NUP153;KIF20A;MKI67;CCT7;PFKP
BL2519 (VCP)	10/323	8.49922169040604E-6	3.4783064767986713E-4	0	0	6.516573482428115	76.08448805936385	TOP2A;FEN1;RFC2;KIFC1;RAD21;POLR1E;NUP153;MKI67;SYNE2;PFKP
BL2400 (DDB2)	10/327	9.461831264344366E-6	3.6878613761266016E-4	0	0	6.433031019978969	74.41887644788608	TOP2A;FEN1;RRM2;RFC2;KIFC1;KIF4A;NUP153;CLSPN;MKI67;PFKP
N2 (ESCO2)	10/327	9.461831264344366E-6	3.6878613761266016E-4	0	0	6.433031019978969	74.41887644788608	TOP2A;FEN1;PCNA;RRM2;RFC2;RAD21;NUP153;BRCA1;MKI67;TUBG1
BL8109 (RAD54L2)	11/404	9.9402101022542E-6	3.762434073281527E-4	0	0	5.745573858309897	66.18281942004916	TOP2A;FEN1;RRM2;RFC2;KIFC1;POLR1E;NUP153;KIF20A;MKI67;CCT7;PFKP
BL2792 (TRIM24)	9/260	1.011283440588804E-5	3.762434073281527E-4	0	0	7.261141002998316	83.51550328700588	TOP2A;FEN1;UBXN1;RFC2;POLR1E;NUP153;MKI67;CCT7;LMNB2
BL7067 (IKBKB)	10/331	1.0517267973626271E-5	3.8259483717391574E-4	0	0	6.351570612668744	72.80482786046775	TOP2A;FEN1;PAXIP1;PCNA;RRM2;RFC2;RAD21;POLR1E;MKI67;CCT7
BL4952 (HMGN3)	10/333	1.1082080730148283E-5	3.9437752511419E-4	0	0	6.311597007223942	72.01646489997565	TOP2A;FEN1;PCNA;RRM2;RFC2;KIFC1;MKI67;CCT7;LMNB2;S100A7
a-HAUSP (USP7)	10/338	1.2610056632013943E-5	4.347281729666524E-4	0	0	6.213795731707317	70.09792855411324	TOP2A;PAXIP1;RRM2;RFC2;NUP153;KIF20A;MKI67;CCT7;LMNB2;PPM1G
BL2251 (HPS5)	7/146	1.274991424196973E-5	4.347281729666524E-4	0	0	10.049051667756704	113.25267173453277	TOP2A;RRM2;RFC2;WDR62;MKI67;CCT7;PFKP
BL2290 (BTBD12)	11/416	1.3065076055760349E-5	4.347281729666524E-4	0	0	5.57190383365822	62.65922254638942	TOP2A;PAXIP1;RRM2;ESPL1;RFC2;KIFC1;POLR1E;NUP153;MKI67;PFKP;S100A7
BL6680 (SETD7)	8/205	1.3570179699411642E-5	4.347281729666524E-4	0	0	8.1620221692738	91.47697220593523	TOP2A;FEN1;RFC2;KIFC1;NUP153;MKI67;TUBG1;CCT7
BL1042 (AGAP1)	9/270	1.366707526032759E-5	4.347281729666524E-4	0	0	6.979381443298969	78.17270760803197	TOP2A;FEN1;MTMR3;RRM2;RFC2;KIFC1;MKI67;CCT7;PFKP
BL4588 (CHAF1B)	9/271	1.4074888923172007E-5	4.347281729666524E-4	0	0	6.952388447312505	77.66595364389563	TOP2A;CHAF1B;CHAF1A;RRM2;RFC2;NUP153;MKI67;CCT7;SYNE2
BL3622 (DTX3L)	9/271	1.4074888923172007E-5	4.347281729666524E-4	0	0	6.952388447312505	77.66595364389563	TOP2A;FEN1;PCNA;RFC2;KIFC1;POLR1E;NUP153;MKI67;CCT7
BL4914 (TRIM16)	10/349	1.662381606735379E-5	5.030215869632065E-4	0	0	6.008788102261554	66.1247553298305	TOP2A;FEN1;PAXIP1;RRM2;RFC2;KIFC1;NUP153;MKI67;CCT7;PFKP
SC-7300 (CREBBP)	3/10	1.690054201770089E-5	5.030215869632065E-4	0	0	82.74757281553399	909.2439722339944	TOP2A;PCNA;SYNE2
BL3118 (PPP4R2)	11/431	1.8146889249501287E-5	5.304724589541716E-4	0	0	5.368771929824561	58.61094437883116	TOP2A;FEN1;PCNA;RRM2;RFC2;NDE1;NUP153;MKI67;CCT7;PFKP;S100A7
BL4923 (TRIM29)	10/354	1.8784553302741093E-5	5.363370283045735E-4	0	0	5.919937015503876	64.42357047217844	TOP2A;PAXIP1;RFC2;KIFC1;POLR1E;NUP153;MKI67;MASTL;CCT7;PFKP
SRC3 Wu (NCOA3)	8/215	1.914178074511918E-5	5.363370283045735E-4	0	0	7.763777974958099	84.34286674290861	TOP2A;FEN1;RRM2;RFC2;KIFC1;NUP153;MKI67;AURKB
BL2840 (UIMC1)	16/896	1.9330412138038998E-5	5.363370283045735E-4	0	0	3.8412121212121213	41.69186698295205	TOP2A;FEN1;PAXIP1;RRM2;RFC2;NUP153;CDC6;BRCA1;MKI67;TUBG1;LMNB2;KIFC1;POLR1E;CCT7;PFKP;S100A7
