Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CDK1	19/659	1.63631587484719E-9	3.779889670897009E-7	0	0	6.5701508620689655	132.91952987007434	TOP2A;FEN1;CDCA2;PCNA;RRM2;NDE1;CKAP2;BRCA1;MKI67;PKMYT1;LMNB2;AURKB;CHAF1B;NASP;ESPL1;ZNF516;CDK1;MAP3K8;MYBL2
PCNA	10/146	5.518983049834285E-9	6.374425422558599E-7	0	0	15.133272058823529	287.76026117992006	FEN1;CHAF1A;PCNA;RFC2;DSCC1;CDK1;CLSPN;CDC6;POLE;IL17RB
BRCA1	9/216	2.2449445880978554E-6	1.56319643227574E-4	0	0	8.824294038547736	114.7760899536284	TOP2A;SMAD4;DCLRE1C;LMO4;CDK1;NUP153;CLSPN;BRCA1;TUBG1
CDK2	15/675	2.7068336489623202E-6	1.56319643227574E-4	0	0	4.803696303696304	61.58209442578379	SMAD4;FEN1;UBXN1;PCNA;RRM2;NDE1;NUP153;CDC6;BRCA1;MKI67;TUBG1;LMNB2;CHAF1B;CHAF1A;MYBL2
PLK1	7/166	2.9240917314771083E-5	0.001350930379942424	0	0	8.776126040276983	91.62224291049819	TOP2A;ESPL1;MAP3K8;CLSPN;CDC6;PKMYT1;TUBG1
RFC1	6/128	6.176679228312347E-5	0.0023780215029002537	0	0	9.723934426229508	94.24577931412927	PCNA;RFC2;CDK1;POLR1E;NUP153;BRCA1
UBB	6/135	8.303051729685354E-5	0.0027400070707961667	0	0	9.193023255813953	86.38042592540148	SMAD4;PCNA;MAST2;MYBL2;CDC6;BRCA1
ESR1	11/591	3.0023056315335865E-4	0.008085771665250183	0	0	3.8557894736842107	31.274153551888574	ZNF512B;TOP2A;SMAD4;LMO4;ATAD2;CDK1;HMGB2;NUP153;BRCA1;MKI67;S100A7
MYC	10/498	3.1503006487987724E-4	0.008085771665250183	0	0	4.142332650273224	33.39897565738141	TOP2A;RFC2;ATAD2;CDK1;NUP153;CDC6;BRCA1;TUBG1;IQGAP3;POLE
PRKCB	8/338	4.3912508362819173E-4	0.009283602539374278	0	0	4.839579468150896	37.41346406696011	TOP2A;GRK6;CDK1;HMGB2;MAP3K8;CLSPN;MKI67;RASGRP3
PPP1CA	6/184	4.452751003143355E-4	0.009283602539374278	0	0	6.645842696629214	51.284760300043715	PCNA;CDK1;BRCA1;MKI67;TNF;AURKB
HIST1H3A	5/122	4.82265066980482E-4	0.009283602539374278	0	0	8.368029110603368	63.90677775896537	CHAF1B;PAXIP1;CHAF1A;NASP;AURKB
SUMO1	6/198	6.552522701550386E-4	0.011643328800447224	0	0	6.156875	45.132912165378904	TOP2A;SMAD4;CHAF1A;HTT;STOM;BRCA1
RB1	6/209	8.68478709179882E-4	0.014329898701468053	0	0	5.82	41.023826774671534	TOP2A;CDK1;E2F2;BRCA1;NDC80;AURKB
PRKDC	7/296	0.0010128835333376332	0.014740058816430323	0	0	4.796581734297997	33.07221057040109	TOP2A;DCLRE1C;PCNA;NASP;HMGB2;BRCA1;PKMYT1
NPM1	5/144	0.0010209564548176848	0.014740058816430323	0	0	7.035757532587791	48.455370409006946	TOP2A;CHAF1A;RFC2;CDK1;BRCA1
ATM	6/222	0.0011854550338256937	0.01610824193021972	0	0	5.466111111111111	36.82862646178459	DCLRE1C;NASP;ESPL1;NUSAP1;CDC6;BRCA1
SUMO2	5/162	0.001720445918367301	0.022079055952380362	0	0	6.223434445355363	39.61322922468412	TOP2A;CHAF1B;CHAF1A;BRCA1;MKI67
RPS27A	5/173	0.002291769747756061	0.026623868496984296	0	0	5.8127062706270625	35.33213366533303	ZNF512B;SMAD4;PCNA;MAST2;CDC6
UBC	9/540	0.00230509683956574	0.026623868496984296	0	0	3.3833653678140836	20.545934798458806	TOP2A;SMAD4;UBXN1;PCNA;RFC2;CDK1;HTT;BRCA1;TUBG1
HDAC1	7/346	0.002462287328478218	0.027085160613260394	0	0	4.078692530019963	24.499337841504083	TOP2A;TCF19;SMAD4;PCNA;MECOM;LMO4;BRCA1
SP1	5/195	0.003831224317106404	0.04022785532961724	0	0	5.13392391870766	28.56808344489648	SMAD4;RNF19A;HTT;E2F2;BRCA1
TUBB	4/125	0.004422152399829165	0.04441379149393639	0	0	6.408361691784152	34.74055369965888	CDK1;HTT;MAP3K8;BRCA1
HNRNPA1	4/130	0.005079938614855175	0.04889440916798105	0	0	6.152505446623094	32.500339933901564	FEN1;CDK1;MRPL37;NOD2
HDAC2	5/214	0.00566325882922166	0.05224610088312179	0	0	4.662703112416505	24.12368721361304	TOP2A;TCF19;LMO4;MYBL2;BRCA1
MAPK1	7/406	0.005886736309386689	0.05224610088312179	0	0	3.454722665248981	17.74018585866858	TOP2A;SMAD4;ESPL1;NDE1;MAP3K8;NUP153;MYBL2
TSGA14	4/137	0.00610668711620904	0.05224610088312179	0	0	5.826625386996904	29.706297083369822	RFC2;CDC6;TUBG1;NDC80
PIN1	4/145	0.007439288939959452	0.06068338221718079	0	0	5.493811709080796	26.925061350023885	TOP2A;CDK1;PKMYT1;AURKB
CDK5	4/146	0.007618260105187198	0.06068338221718079	0	0	5.454846727423364	26.604418104859157	PCNA;CDK1;HTT;BRCA1
CREBBP	6/334	0.008762478012669477	0.06641438215913949	0	0	3.5791463414634146	16.95540598188716	SMAD4;MECOM;HMGB2;HTT;MYBL2;BRCA1
TRAF6	8/550	0.008912752584126944	0.06641438215913949	0	0	2.9146773100384067	13.758070142162378	PCNA;NASP;MAST2;HMGB2;MAP3K8;IL17RB;PFKP;PPM1G
SMAD1	4/162	0.01087652358659788	0.07851490464075345	0	0	4.898485976669149	22.14678307384609	ZNF512B;SMAD4;UBXN1;MECOM
AKT1	6/355	0.01159669573029772	0.08117687011208405	0	0	3.3601719197707736	14.97640409532195	TBC1D1;SMAD4;HTT;MAP3K8;BRCA1;RASGRP3
ESR2	6/361	0.01251326651191704	0.08501660483096578	0	0	3.3023661971830984	14.467553621643589	ZNF512B;SMAD4;RFC2;POLR1E;WDR62;MKI67
SMAD2	6/370	0.013982167821131106	0.09228230761946529	0	0	3.2192307692307693	13.746026818132362	TBC1D1;SMAD4;PAXIP1;MECOM;NUP153;BRCA1
DYNLL1	4/183	0.01635772116739506	0.10496204415745163	0	0	4.3192025413517365	17.76511869049057	MAST2;NDE1;MASTL;PFKP
TP53	7/502	0.01744919388924895	0.1089395618490948	0	0	2.7710029588817466	11.218299701146803	TOP2A;RRM2;CDK1;HMGB2;HTT;BRCA1;AURKB
UBE2I	4/212	0.026375568033357267	0.15932070668583126	0	0	3.7115384615384617	13.492619424372245	SMAD4;ZNF646;BLMH;BRCA1
MAPK14	7/552	0.02754103244263254	0.15932070668583126	0	0	2.510295616717635	9.017178405233963	FEN1;CHAF1B;NUP153;MYBL2;CDC6;NOD2;MKI67
XPO1	3/124	0.028277701186662695	0.15932070668583126	0	0	4.759608440985317	16.97124885454018	TOP2A;CDCA4;NUP153
TNFRSF1B	3/124	0.028277701186662695	0.15932070668583126	0	0	4.759608440985317	16.97124885454018	CDK1;TNF;PFKP
CSNK2A1	7/564	0.030455018697179856	0.1675026028344892	0	0	2.454690531889814	8.57056299098665	TOP2A;ESPL1;ATAD2;CDK1;MYBL2;BRCA1;TYMS
CDK4	3/135	0.03508387897784426	0.18586674144581405	0	0	4.36054721977052	14.60789223848863	UBXN1;PCNA;BRCA1
TOP1	3/136	0.03574098496718404	0.18586674144581405	0	0	4.327542156361778	14.417021520087234	TOP2A;CDK1;MKI67
SETDB1	3/138	0.037074233540865836	0.18586674144581405	0	0	4.262998921251349	14.045869799148482	CHAF1B;CHAF1A;PCNA
STAT1	3/139	0.037750352103075424	0.18586674144581405	0	0	4.231439177612793	13.865412654209214	SMAD4;NUP153;BRCA1
PARP1	3/140	0.03843278346775295	0.18586674144581405	0	0	4.200340160158741	13.688255208437328	TOP2A;PCNA;MYBL2
XRCC6	3/141	0.03912151457584303	0.18586674144581405	0	0	4.169691853102575	13.514316206200586	ZNF512B;PCNA;HTT
MAPK8	5/352	0.03942627848850601	0.18586674144581405	0	0	2.788683767512198	9.01671457961913	SMAD4;NASP;ZNF516;CDK1;WDR62
AR	4/243	0.04042657605458118	0.18677078137216505	0	0	3.2250389695627204	10.346788960863892	SMAD4;CDK1;HMGB2;BRCA1
EP300	5/357	0.0414720272942314	0.18784388833269516	0	0	2.748368586858686	8.747331972787796	SMAD4;FEN1;PCNA;MYBL2;BRCA1
SQSTM1	3/165	0.0575003727272121	0.25543434807665377	0	0	3.5476447321107516	10.131945103959099	SMAD4;CDK1;HTT
MAP3K7	3/168	0.06004054015737489	0.256981097161493	0	0	3.48261253309797	9.795667123203405	SMAD4;NOD2;TNF
IKBKB	3/169	0.060898873188458984	0.256981097161493	0	0	3.461457480407065	9.687029318634691	CDK1;MAP3K8;TNF
TRAF2	4/279	0.06118597551464118	0.256981097161493	0	0	2.7977183600713014	7.816369836471329	MAST2;ZNF646;MAP3K8;TNF
H2AFX	3/172	0.06350838894285997	0.26197210438929736	0	0	3.3994944562532314	9.370989552971619	TOP2A;BRCA1;PPM1G
GABARAPL2	6/539	0.06697964922755413	0.2661247023110511	0	0	2.1794746716697935	5.8919187029715205	NASP;RFC2;BLMH;WDR62;CCT7;PFKP
CSNK2A2	4/289	0.0677907374779834	0.2661247023110511	0	0	2.698176814585483	7.261683420520605	TOP2A;CDK1;TYMS;TNF
YWHAH	3/177	0.06797124431321219	0.2661247023110511	0	0	3.3009708737864076	8.875223145018568	TBC1D1;MAST2;TUBG1
MCC	4/292	0.069841833189308	0.2688910577788358	0	0	2.6696623093681917	7.105365287659097	UBXN1;PCNA;NASP;PFKP
PPP2CA	3/184	0.07445287039734738	0.28194447642274173	0	0	3.1721825886391675	8.240026490057275	HTT;CDC6;CCT7
GSK3B	7/696	0.07670323746292587	0.28578141699896575	0	0	1.9708698010584802	5.060821868327178	TOP2A;SMAD4;CHAF1B;MYBL2;CDC6;BRCA1;MKI67
MAPK3	4/326	0.09526601846144796	0.3493087343586425	0	0	2.3836317135549874	5.604113869727338	TOP2A;SMAD4;MAP3K8;NUP153
SMAD3	4/328	0.09688235270142882	0.34968474178171965	0	0	2.3686758654078917	5.529100340318639	SMAD4;MECOM;NUP153;BRCA1
JUN	3/211	0.10185117948198197	0.3619634224667359	0	0	2.7566280806572068	6.296807172342942	TOP2A;SMAD4;BRCA1
TGFBR1	3/216	0.10731404916915685	0.37559917209204896	0	0	2.6912347873649667	6.006824484859399	SMAD4;UBXN1;AURKB
SMAD4	3/221	0.1128895903190878	0.38921634871207883	0	0	2.628841186425581	5.734409616559849	SMAD4;MECOM;BRCA1
ABL1	4/351	0.11637963565966572	0.3953484681968056	0	0	2.209074984460643	4.7514943261076645	CDK1;MAP3K8;BRCA1;MKI67
