Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA replication Homo sapiens P00017	3/19	1.318133776604985E-4	0.0019772006649074773	0	0	36.185679611650485	323.28732845949423	TOP2A;PCNA;RFC2
De novo pyrimidine deoxyribonucleotide biosynthesis Homo sapiens P02739	2/10	0.0012178956941286418	0.009134217705964814	0	0	47.80288461538461	320.78750745619243	RRM2;TYMS
Formyltetrahydroformate biosynthesis Homo sapiens P02743	1/5	0.02622300558108204	0.13111502790541021	0	0	47.357142857142854	172.43295370979877	TYMS
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027	2/106	0.10873573144763753	0.3544744697893364	0	0	3.6593934911242605	8.119589708070714	GRK6;RASGRP3
De novo purine biosynthesis Homo sapiens P02738	1/26	0.129121418613924	0.3544744697893364	0	0	7.569142857142857	15.494051230927994	RRM2
FAS signaling pathway Homo sapiens P00020	1/31	0.15198800438142535	0.3544744697893364	0	0	6.306031746031746	11.880271712830174	LMNB2
Angiotensin II-stimulated signaling through G proteins and beta-arrestin Homo sapiens P05911	1/34	0.16542141923502365	0.3544744697893364	0	0	5.731890331890332	10.313155296299051	GRK6
Toll receptor signaling pathway Homo sapiens P00054	1/49	0.22949094066533868	0.43029551374751	0	0	3.937698412698413	5.795865707171542	MAP3K8
p53 pathway Homo sapiens P00059	1/71	0.3147445311450474	0.524574218575079	0	0	2.697142857142857	3.117880909948564	RRM2
TGF-beta signaling pathway Homo sapiens P00052	1/88	0.37416107033559115	0.5270097557935434	0	0	2.168253968253968	2.1315430541870413	SMAD4
Apoptosis signaling pathway Homo sapiens P00006	1/102	0.41923761079296107	0.5270097557935434	0	0	1.8663837812352664	1.6224799513447534	TNF
Wnt signaling pathway Homo sapiens P00057	2/278	0.43476497586267937	0.5270097557935434	0	0	1.366917502787068	1.1385734955396012	SMAD4;TNF
Huntington disease Homo sapiens P00029	1/124	0.4836583063672189	0.5270097557935434	0	0	1.5308555942702284	1.1119776819108949	HTT
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway Homo sapiens P00026	1/127	0.4918757720739738	0.5270097557935434	0	0	1.4941798941798943	1.0601641008481375	GRK6
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	1/188	0.6335012195613147	0.6335012195613147	0	0	1.0036669213139802	0.45816727931614015	GRK6
