Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell Cycle Homo sapiens R-HSA-1640170	27/566	1.251581360113765E-18	5.244125898876676E-16	0	0	12.272727272727273	505.90788341773026	TOP2A;FEN1;PCNA;BRCA1;PKMYT1;TYMS;SYNE2;AURKB;RAD21;E2F2;MYBL2;CLSPN;POLE;GINS1;CENPU;RRM2;RFC2;NDE1;NUP153;CDC6;TUBG1;MASTL;NDC80;ESPL1;MSH5;CDK1;KIF20A
Cell Cycle, Mitotic Homo sapiens R-HSA-69278	23/462	2.568595132837235E-16	5.381206803294007E-14	0	0	12.280511567911738	440.84583348489406	TOP2A;GINS1;CENPU;FEN1;PCNA;RRM2;RFC2;NDE1;NUP153;CDC6;PKMYT1;TUBG1;MASTL;TYMS;NDC80;AURKB;ESPL1;RAD21;CDK1;E2F2;MYBL2;KIF20A;POLE
Mitotic G1-G1/S phases Homo sapiens R-HSA-453279	10/136	2.769656321960202E-9	3.8682866630044154E-7	0	0	16.34259259259259	322.0233118688208	TOP2A;PCNA;RRM2;CDK1;E2F2;MYBL2;CDC6;PKMYT1;TYMS;POLE
G1/S-Specific Transcription Homo sapiens R-HSA-69205	5/17	2.236374354305822E-8	2.3426021361353486E-6	0	0	82.02145214521452	1444.8755292936276	PCNA;RRM2;CDK1;CDC6;TYMS
G0 and Early G1 Homo sapiens R-HSA-1538133	5/25	1.8565666979749412E-7	1.5558028929030008E-5	0	0	49.193069306930695	762.4614217741483	TOP2A;PCNA;CDK1;MYBL2;CDC6
E2F mediated regulation of DNA replication Homo sapiens R-HSA-113510	5/33	8.018900309674431E-7	5.599865382922644E-5	0	0	35.12376237623762	493.00746763734855	PCNA;RRM2;CDK1;CDC6;TYMS
DNA Double-Strand Break Repair Homo sapiens R-HSA-5693532	8/145	1.0416395929166097E-6	6.234956991886564E-5	0	0	11.772381945478921	162.16120092648498	FEN1;DCLRE1C;PAXIP1;PCNA;RFC2;CLSPN;BRCA1;POLE
DNA Replication Homo sapiens R-HSA-69306	7/105	1.4292682422579584E-6	7.485792418826057E-5	0	0	14.282828282828282	192.22327293130664	GINS1;FEN1;PCNA;RFC2;E2F2;CDC6;POLE
M Phase Homo sapiens R-HSA-68886	10/268	1.6242823701964958E-6	7.561936812359242E-5	0	0	7.927971576227391	105.68338476201956	CENPU;ESPL1;RAD21;NDE1;CDK1;NUP153;KIF20A;MASTL;NDC80;AURKB
G1/S Transition Homo sapiens R-HSA-69206	7/112	2.207038632970705E-6	9.247491872147254E-5	0	0	13.325925925925926	173.55497931889866	PCNA;RRM2;CDK1;CDC6;PKMYT1;TYMS;POLE
PCNA-Dependent Long Patch Base Excision Repair Homo sapiens R-HSA-5651801	4/19	2.7171339740330076E-6	1.0349810319271184E-4	0	0	51.97124183006536	666.0599490211719	FEN1;PCNA;RFC2;POLE
S Phase Homo sapiens R-HSA-69242	7/124	4.353750662833163E-6	1.516052415137486E-4	0	0	11.95191228524562	147.54005686643399	GINS1;FEN1;PCNA;RFC2;RAD21;CDC6;POLE
Resolution of AP sites via the multiple-nucleotide patch replacement pathway Homo sapiens R-HSA-110373	4/22	5.065568928860336E-6	1.516052415137486E-4	0	0	43.30283224400871	527.9933432507723	FEN1;PCNA;RFC2;POLE
Telomere C-strand (Lagging Strand) Synthesis Homo sapiens R-HSA-174417	4/22	5.065568928860336E-6	1.516052415137486E-4	0	0	43.30283224400871	527.9933432507723	FEN1;PCNA;RFC2;POLE
SUMO E3 ligases SUMOylate target proteins Homo sapiens R-HSA-3108232	6/96	1.2104520379777814E-5	3.362318410794274E-4	0	0	13.202666666666667	149.4796888058574	TOP2A;PCNA;RAD21;NUP153;BRCA1;AURKB
Synthesis of DNA Homo sapiens R-HSA-69239	6/97	1.2847564212764472E-5	3.362318410794274E-4	0	0	13.056923076923077	147.05172013537134	GINS1;FEN1;PCNA;RFC2;CDC6;POLE
Extension of Telomeres Homo sapiens R-HSA-180786	4/28	1.3836168085567864E-5	3.362318410794274E-4	0	0	32.467320261437905	363.2516686003447	FEN1;PCNA;RFC2;POLE
Resolution of Sister Chromatid Cohesion Homo sapiens R-HSA-2500257	6/99	1.444432730174151E-5	3.362318410794274E-4	0	0	12.77483870967742	142.3782447387019	CENPU;RAD21;NDE1;CDK1;NDC80;AURKB
SUMOylation Homo sapiens R-HSA-2990846	6/101	1.619771135191974E-5	3.5720216086601955E-4	0	0	12.504631578947368	137.93409678626753	TOP2A;PCNA;RAD21;NUP153;BRCA1;AURKB
