Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
H322 Nuclear N2 30609389	9/320	5.176912805385118E-5	0.0012759342637161473	0	0	5.842377432293566	57.65676697359183	SLFN13;CHAF1B;PAXIP1;CDCA2;CHAF1A;RAD21;CKAP2;NUP153;KIF20A
HCC827 Nuclear N4 30609389	16/981	5.7566760456927454E-5	0.0012759342637161473	0	0	3.487207829591249	34.04409391474551	DCLRE1C;PAXIP1;PCNA;TTC33;DSCC1;BRCA1;MASTL;C6ORF132;NASP;MECOM;KIFC1;KIF4A;ZNF516;MYBL2;CLSPN;POLE
A431 Nuclear N4 30609389	15/884	6.452790456095243E-5	0.0012759342637161473	0	0	3.608733039112786	34.818546042271635	GINS1;FEN1;TTC33;DSCC1;HMGB2;FOXJ2;MASTL;PPM1G;C6ORF132;KIFC1;KIF4A;ZNF516;E2F2;MYBL2;POLE
A431 Nuclear Unclassified 30609389	11/500	6.991420623102177E-5	0.0012759342637161473	0	0	4.594876762458293	43.96489141219406	CENPU;PAXIP1;CHAF1A;MECOM;OAS3;CKAP2;KIF20A;BRCA1;ZNF367;LMNB2;AURKB
MCF7 Nuclear N4 30609389	16/1028	9.969883138190004E-5	0.0014556029381757405	0	0	3.31699604743083	30.560667433765413	GINS1;FEN1;DCLRE1C;PCNA;DSCC1;HMGB2;FOXJ2;MASTL;PPM1G;NASP;KIFC1;KIF4A;ZNF516;E2F2;MYBL2;CLSPN
U251 Nuclear N3 30609389	8/291	1.6037569636905352E-4	0.0019512376391568177	0	0	5.656883247998846	49.429797131700404	TOP2A;CENPU;CDCA2;ATAD2;ZNF646;MKI67;LMNB2;SYNE2
HCC827 Cytosol Unclassified 30609389	27/2501	2.024091892976065E-4	0.002110838688389325	0	0	2.406495911914288	20.46777528265684	FEN1;UBXN1;PYCRL;CDCA4;HMGB2;HTT;ARHGEF10L;WDR62;TYMS;IQGAP3;RASGRP3;ZC3H12C;ENOSF1;SMAD4;RRM2;ASMTL;SNX24;YOD1;NDC80;SLFN13;TBC1D1;OAS3;ALDH1A1;CDK1;BLMH;PLIN2;PFKP
H322 Nuclear N4 30609389	14/893	2.6190080287237646E-4	0.002389844826210435	0	0	3.2919078003660287	27.150156866393267	DCLRE1C;DSCC1;FOXJ2;MASTL;C6ORF132;NASP;MECOM;KIFC1;KIF4A;ZNF516;E2F2;MYBL2;CLSPN;POLE
HCC827 Nuclear N3 30609389	7/246	3.389534521338268E-4	0.0027492891117521507	0	0	5.814842990575208	46.45854732877759	TOP2A;CENPU;CHAF1A;ATAD2;ZNF646;MKI67;SYNE2
U251 Cytosol Unclassified 30609389	27/2632	4.634309955532696E-4	0.003383046267538868	0	0	2.26829126072062	17.413338707987766	MTMR3;UBXN1;PCNA;PYCRL;MAST2;HMGB2;HTT;ARHGEF10L;WDR62;TYMS;IQGAP3;ZC3H12C;PIDD;CCT7;GINS1;SMAD4;RRM2;ASMTL;SNX24;YOD1;NDC80;TBC1D1;ESPL1;CDK1;BLMH;PLIN2;PFKP
MCF7 Nuclear N2 30609389	6/207	8.262028269629398E-4	0.005482982397117692	0	0	5.878507462686567	41.72958610657158	CHAF1B;CDCA2;RAD21;NUP153;KIF20A;ZNF367
U251 Nuclear N4 30609389	13/903	9.727873236327143E-4	0.005917789552099012	0	0	2.9848012564938986	20.70062670196599	DCLRE1C;LMO4;CDCA4;TTC33;DSCC1;NASP;KIFC1;KIF4A;ZNF30;ZNF516;MYBL2;CLSPN;POLE
H322 Cytosol Unclassified 30609389	25/2508	0.0012060987130198034	0.0067727081577265875	0	0	2.164222888481178	14.544366307188197	PYCRL;HTT;ARHGEF10L;WDR62;TYMS;ZC3H12C;ODF2L;ENOSF1;MAP3K8;LRRFIP2;PIDD;SMAD4;RRM2;NDE1;ASMTL;SNX24;YOD1;NDC80;TBC1D1;ESPL1;ALDH1A1;CDK1;BLMH;PFKP;S100A7
MCF7 Nuclear N3 30609389	6/236	0.0016188886466917988	0.00844134794346438	0	0	5.129739130434783	32.96378257689483	TOP2A;CENPU;CHAF1A;ATAD2;MKI67;SYNE2
A431 Nuclear N2 30609389	7/331	0.0019201519633808865	0.009344739555120314	0	0	4.270794363386956	26.71531757177666	CHAF1B;CDCA2;RAD21;GRK6;NUSAP1;ZNF646;NUP153
U251 Nuclear N2 30609389	5/172	0.002234800781557696	0.010196278565856988	0	0	5.847809331831387	35.69270769612452	CHAF1B;CHAF1A;RAD21;NUP153;KIF20A
HCC827 Nuclear N2 30609389	6/262	0.00273213201389804	0.011732096294973935	0	0	4.60265625	27.167974853871204	CDCA2;RAD21;CKAP2;NUP153;KIF20A;AURKB
H322 Nuclear N3 30609389	6/286	0.004196941826153656	0.017020930739400936	0	0	4.203	23.004696650747753	CENPU;ATAD2;ZNF646;MKI67;LMNB2;SYNE2
A431 Cytosol Unclassified 30609389	23/2549	0.006877042364449222	0.02642232066341017	0	0	1.9053124612464107	9.487630310503016	SMAD4;UBXN1;RRM2;MAST2;NDE1;ASMTL;HTT;YOD1;ARHGEF10L;WDR62;TYMS;IQGAP3;NDC80;ZC3H12C;TBC1D1;ODF2L;ESPL1;ENOSF1;ALDH1A1;CDK1;BLMH;PIDD;PFKP
MCF7 Nuclear Unclassified 30609389	7/429	0.007869485628320941	0.028723622543371435	0	0	3.262578390540476	15.806417691753081	ZNF512B;PAXIP1;LMO4;ZNF646;POLE;LMNB2;AURKB
HCC827 Cytosol C1 30609389	5/237	0.008619091862295255	0.0299616050451216	0	0	4.195544554455446	19.944677131381294	MTMR3;MAST2;MAP3K8;TUBG1;CCT7
MCF7 Cytosol Unclassified 30609389	24/2871	0.014266247747673098	0.04733800389000619	0	0	1.7524994217276209	7.44787514020178	SMAD4;UBXN1;RRM2;PYCRL;CDCA4;NDE1;MAGEF1;ASMTL;HTT;SNX24;TYMS;IQGAP3;NDC80;ZC3H12C;TOM1L2;TBC1D1;ESPL1;ENOSF1;OAS3;CDK1;BLMH;LRRFIP2;CCT7;PFKP
H322 Cytosol C5 30609389	4/219	0.029241063887847595	0.09280859407882062	0	0	3.589420884632923	12.678485183273049	GINS1;UBXN1;HMGB2;PPM1G
A431 Nuclear N3 30609389	5/349	0.03822918090467464	0.1162804252517187	0	0	2.8134354133087727	9.183492526569772	ZNF512B;TOP2A;ATAD2;MKI67;SYNE2
A431 Cytosol C1 30609389	5/356	0.04105780730062715	0.11988879731783128	0	0	2.756339736537756	8.800370593338753	TOM1L2;MTMR3;MAGEF1;SNX24;CCT7
U251 Unclassified Unclassified 30609389	9/942	0.062404947484130203	0.17521389101313478	0	0	1.8856034739947625	5.230872811151753	FEN1;MECOM;RFC2;MAGEF1;CKAP2;CDC6;ZNF367;S100A7;PPM1G
HCC827 Secretory S4 30609389	3/189	0.07924520948388193	0.21425556638234744	0	0	3.0861259004071404	7.8239720475669605	SLC6A9;SLC43A3;DSG2
MCF7 Cytosol C1 30609389	4/332	0.100153788639945	0.261115234668428	0	0	2.3393113342898135	5.382868574635978	MTMR3;MAST2;WDR62;TUBG1
H322 Nuclear N1 30609389	6/620	0.11164973666932776	0.2810493371331354	0	0	1.8840390879478828	4.13054592997408	ZNF512B;RFC2;MAGEF1;NUSAP1;POLR1E;BRCA1
A431 Cytosol C2 30609389	4/352	0.11726415746903754	0.285342783174658	0	0	2.2026143790849675	4.72092095948305	TCF19;DCLRE1C;PYCRL;LRRFIP2
U251 Cytosol C2 30609389	5/497	0.12441785241939338	0.2929839750521199	0	0	1.9522257103759157	4.0686523458818415	TCF19;TOM1L2;OAS3;NDE1;LRRFIP2
U251 Nuclear Unclassified 30609389	6/646	0.12860205941064018	0.2933734480305229	0	0	1.8050625	3.7022417676034474	ZNF512B;PAXIP1;FOXJ2;BRCA1;MASTL;AURKB
H322 Cytosol C1 30609389	4/374	0.137453892958527	0.3040646723021961	0	0	2.0693163751987282	4.106489525355417	MTMR3;MAST2;TUBG1;CCT7
MCF7 Unclassified Unclassified 30609389	7/878	0.1844662351644781	0.3960598578531441	0	0	1.5442716487492607	2.6102651330186455	TCF19;C6ORF132;MECOM;CKAP2;PLIN2;DSG2;S100A7
HCC827 Nuclear Unclassified 30609389	4/449	0.21520248218954774	0.4488508914239139	0	0	1.7139458030403172	2.6329222646847805	ZNF512B;CHAF1B;MAGEF1;LMNB2
H322 Unclassified Unclassified 30609389	5/635	0.24717131611710727	0.5012085021263564	0	0	1.5137513751375138	2.115730326812417	TOP2A;PCNA;TTC33;ARID5A;ZNF367
A431 Secretory S2 30609389	3/332	0.25785611973438793	0.5087431551516303	0	0	1.7320801487296014	2.347580935279963	RNF19A;EMC4;TMEM38B
A431 Cytosol C5 30609389	2/200	0.2864567291305087	0.5403586764068169	0	0	1.912975912975913	2.3915408635892965	PCNA;CDCA4
U251 Mitochondria Unclassified 30609389	1/64	0.2886847723269296	0.5403586764068169	0	0	2.997883597883598	3.724630357914596	ARID5A
A431 Mitochondria M2 30609389	2/216	0.31775009904491414	0.5798939307569683	0	0	1.768511861969806	2.0275812657985015	DSG2;MYO19
