Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Retinoblastoma gene in cancer WP2446	9/87	8.498835163605069E-10	1.5467879997761225E-7	0	0	23.57176843774782	492.31811264176997	TOP2A;PCNA;RRM2;KIF4A;HMGB2;CDK1;E2F2;TYMS;POLE
Cell cycle WP179	8/120	2.4512359068354014E-7	2.2306246752202153E-5	0	0	14.418367346938776	219.46922617835656	SMAD4;PCNA;ESPL1;RAD21;CDK1;E2F2;CDC6;PKMYT1
Gastric Cancer Network 2 WP2363	4/31	2.1004451033157103E-5	0.001274270029344864	0	0	28.855482933914306	310.79594849919926	TOP2A;DSCC1;ATAD2;LMNB2
DNA Repair Pathways Full Network WP4946	6/120	4.3044812893154404E-5	0.0019585389866385253	0	0	10.410526315789474	104.6598196585878	FEN1;DCLRE1C;PCNA;RFC2;BRCA1;POLE
DNA IR-damage and cellular response via ATR WP4016	5/80	6.667493696676926E-5	0.002167220159393808	0	0	13.081848184818481	125.7908847037066	FEN1;PCNA;CDK1;BRCA1;CLSPN
DNA Replication WP466	4/42	7.144681844155412E-5	0.002167220159393808	0	0	20.49122807017544	195.62068052263444	PCNA;RFC2;CDC6;POLE
Hepatitis C and Hepatocellular Carcinoma WP3646	4/49	1.314488960851025E-4	0.003417671298212665	0	0	17.29760348583878	154.58682121395384	SMAD4;RRM2;E2F2;BRCA1
DNA Mismatch Repair WP531	3/23	2.3722393462379196E-4	0.0053968445126912675	0	0	28.94271844660194	241.5705729135497	PCNA;RFC2;POLE
G1 to S cell cycle control WP45	4/64	3.708999435591739E-4	0.007500421080863294	0	0	12.963398692810458	102.40538204403322	PCNA;CDK1;E2F2;POLE
Base Excision Repair WP4752	3/31	5.83841527304732E-4	0.010625915796946122	0	0	20.66504854368932	153.86949168142752	FEN1;PCNA;POLE
Pyrimidine metabolism WP4022	4/85	0.0010855972471686256	0.01796169990769908	0	0	9.592350520455096	65.47378737937122	RRM2;POLR1E;TYMS;POLE
Nucleotide Excision Repair WP4753	3/44	0.0016364430405362907	0.02445270027462413	0	0	14.103480937721999	90.47707782812446	PCNA;RFC2;POLE
