Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NUP50	2/7	5.742868349656288E-4	0.03618007060283461	0	0	76.49615384615385	570.8434889415518	KIFC1;NUP153
RGPD8	2/21	0.005471612052932313	0.09882367204773716	0	0	20.116396761133604	104.76985547464648	CDCA2;NUP153
ANKRD52	1/5	0.02622300558108204	0.09882367204773716	0	0	47.357142857142854	172.43295370979877	DCLRE1C
CENPH	1/5	0.02622300558108204	0.09882367204773716	0	0	47.357142857142854	172.43295370979877	CENPU
RFC3	1/5	0.02622300558108204	0.09882367204773716	0	0	47.357142857142854	172.43295370979877	PCNA
LIN37	1/5	0.02622300558108204	0.09882367204773716	0	0	47.357142857142854	172.43295370979877	MYBL2
CDK1	1/5	0.02622300558108204	0.09882367204773716	0	0	47.357142857142854	172.43295370979877	PKMYT1
ISL2	1/5	0.02622300558108204	0.09882367204773716	0	0	47.357142857142854	172.43295370979877	LMO4
STAG2	1/5	0.02622300558108204	0.09882367204773716	0	0	47.357142857142854	172.43295370979877	RAD21
GINS4	1/6	0.03138529680575103	0.09882367204773716	0	0	37.883809523809525	131.13161496811227	GINS1
STAG1	1/6	0.03138529680575103	0.09882367204773716	0	0	37.883809523809525	131.13161496811227	RAD21
SSBP2	1/6	0.03138529680575103	0.09882367204773716	0	0	37.883809523809525	131.13161496811227	LMO4
NUP153	1/7	0.03652047958894548	0.09882367204773716	0	0	31.56825396825397	104.48719845726775	KIFC1
NUP43	1/7	0.03652047958894548	0.09882367204773716	0	0	31.56825396825397	104.48719845726775	NUP153
CENPQ	1/7	0.03652047958894548	0.09882367204773716	0	0	31.56825396825397	104.48719845726775	CENPU
NSL1	1/7	0.03652047958894548	0.09882367204773716	0	0	31.56825396825397	104.48719845726775	NDC80
CENPK	1/7	0.03652047958894548	0.09882367204773716	0	0	31.56825396825397	104.48719845726775	CENPU
SMC1A	1/7	0.03652047958894548	0.09882367204773716	0	0	31.56825396825397	104.48719845726775	RAD21
NUP37	1/8	0.041628694578224525	0.09882367204773716	0	0	27.057142857142857	86.01372572734715	NUP153
NUP98	1/8	0.041628694578224525	0.09882367204773716	0	0	27.057142857142857	86.01372572734715	NUP153
NUP107	1/8	0.041628694578224525	0.09882367204773716	0	0	27.057142857142857	86.01372572734715	NUP153
CENPP	1/8	0.041628694578224525	0.09882367204773716	0	0	27.057142857142857	86.01372572734715	CENPU
MIS12	1/8	0.041628694578224525	0.09882367204773716	0	0	27.057142857142857	86.01372572734715	NDC80
SSBP3	1/8	0.041628694578224525	0.09882367204773716	0	0	27.057142857142857	86.01372572734715	LMO4
TMOD3	1/8	0.041628694578224525	0.09882367204773716	0	0	27.057142857142857	86.01372572734715	LRRFIP2
PDS5B	1/9	0.046710081786484385	0.09882367204773716	0	0	23.673809523809524	72.5317052519737	RAD21
MYO18A	1/9	0.046710081786484385	0.09882367204773716	0	0	23.673809523809524	72.5317052519737	LRRFIP2
DSN1	1/9	0.046710081786484385	0.09882367204773716	0	0	23.673809523809524	72.5317052519737	NDC80
CEP170	1/10	0.05176478059643375	0.09882367204773716	0	0	21.04232804232804	62.30728596638391	SYNE2
MAGEA10	1/10	0.05176478059643375	0.09882367204773716	0	0	21.04232804232804	62.30728596638391	FOXJ2
NUP160	1/10	0.05176478059643375	0.09882367204773716	0	0	21.04232804232804	62.30728596638391	NUP153
CENPI	1/10	0.05176478059643375	0.09882367204773716	0	0	21.04232804232804	62.30728596638391	CENPU
CCT3	1/10	0.05176478059643375	0.09882367204773716	0	0	21.04232804232804	62.30728596638391	CCT7
NUP205	1/12	0.06179466715785234	0.1081406675262416	0	0	17.214718614718613	47.92471292911524	NUP153
CCNA2	1/12	0.06179466715785234	0.1081406675262416	0	0	17.214718614718613	47.92471292911524	CDK1
NXF1	1/12	0.06179466715785234	0.1081406675262416	0	0	17.214718614718613	47.92471292911524	NUP153
NDC1	1/13	0.06677013024916706	0.11368968123506823	0	0	15.77936507936508	42.70684291496826	NUP153
CAPZA2	1/14	0.07171945564755952	0.11585450527682692	0	0	14.564835164835165	38.37824191326997	LRRFIP2
TMEM209	1/14	0.07171945564755952	0.11585450527682692	0	0	14.564835164835165	38.37824191326997	NUP153
SNW1	1/17	0.08641196167957486	0.13370371162109476	0	0	11.832142857142857	28.97253011271759	PPM1G
MYO1C	1/18	0.0912580888842393	0.13370371162109476	0	0	11.135574229691876	26.659273431080635	LRRFIP2
NUP85	1/18	0.0912580888842393	0.13370371162109476	0	0	11.135574229691876	26.659273431080635	NUP153
NUP93	1/18	0.0912580888842393	0.13370371162109476	0	0	11.135574229691876	26.659273431080635	NUP153
AAAS	1/19	0.09607875125962116	0.13756730293991212	0	0	10.516402116402116	24.63558791711873	NUP153
SEH1L	1/22	0.1103892711343678	0.15454497958811492	0	0	9.012698412698413	19.861665014147402	NUP153
SF3B3	1/32	0.15648943856141306	0.20976243892274518	0	0	6.102304147465437	11.318350870830447	PPM1G
