,mean,total,tech,bio,p.value,FDR
PPBP,8.54370809518315,42.7712303440031,15.8761975956994,26.8950327483037,1.12234674087492e-08,3.6745632296245e-05
F13A1,7.09574143448421,39.3759345567532,16.5266135983586,22.8493209583946,2.51124725145961e-06,0.00274060783375959
SDPR,7.31942502439109,39.3119320586927,16.5554440706495,22.7564879880432,2.84775814742597e-06,0.00294428216042294
TUBB1,8.23027710202692,38.802070742671,16.1876908383368,22.6143799043342,1.99895831668099e-06,0.00230985512781655
PF4,6.87314825201955,38.3311423371892,16.4662715972133,21.8648707399759,5.84691753406535e-06,0.00459427392156719
SPARC,6.35775519113019,37.8944006796175,16.226364987927,21.6680356916905,5.21690130706715e-06,0.00445568735982726
ITGB3,6.02884043393377,36.0242246412562,16.002357963009,20.0218666782472,1.81290993338677e-05,0.0104743537445441
GRAP2,4.89374289408148,34.1930431647545,14.6811265571927,19.5119166075617,5.74238233615239e-06,0.00459427392156719
PLEK,4.57712450621112,33.3430397599613,14.1402098518946,19.2028299080667,3.68321927526712e-06,0.0034453885449213
TREML1,4.17826148076147,32.4419826015294,13.358673037986,19.0833095635434,1.20532106605445e-06,0.00147983293884835
ITGA2B,6.90878433797833,35.3231844936543,16.4779639551731,18.8452205384813,7.99417293025801e-05,0.0263907777237631
CXCR2P1,4.66846213676557,33.1126673091394,14.3028621557748,18.8098051533647,7.08755834514e-06,0.00535492292815116
RGS18,6.83869977968359,34.8839671113997,16.454591630748,18.4293754806517,0.000109024113838309,0.0297454123922186
GNG11,6.36113822398204,34.3545619745725,16.2284038921157,18.1261580824568,0.000113462857665909,0.0301197888647178
MMD,6.03393643977577,34.0920879686071,16.0061586857737,18.0859292828335,9.57841883575701e-05,0.0283311550539145
GP9,5.4201993067066,33.3846192267563,15.4161139447457,17.9685052820106,5.96647235950924e-05,0.0221713486443529
BIN2,6.49296082759848,34.2504240939944,16.3035756941431,17.9468483998513,0.000139702771541533,0.0338805091871837
PTGS1,5.93980021135344,33.8645727287647,15.9331677320211,17.9314049967437,0.000101619300051882,0.0285172790031311
SLC2A3,5.82228916828139,33.0846986515523,15.832063816746,17.2526348348063,0.000160856879739386,0.0355041859056235
RAB31,5.01609321107471,31.8493217343367,14.871330249634,16.9779914847027,8.20885683564932e-05,0.0264352104392615
CLEC1B,4.97296311793646,31.7452447190015,14.8061476169915,16.9390971020099,7.95231062963358e-05,0.0263907777237631
C6orf25,7.24736884951304,33.4850889128815,16.550191869947,16.9348970429345,0.000365473855798804,0.055654018785362
DAB2,7.02538715693934,33.4371858174479,16.5114994682684,16.9256863491795,0.000357484406840603,0.0548626850623188
RAB32,4.93308227667614,31.4918107244478,14.7439504726358,16.747860251812,8.85521073882332e-05,0.0269200991146991
SELP,5.29318916996091,31.9649471087645,15.259427655886,16.7055194528785,0.000150874920736769,0.0348680816818011
GUCY1B3,5.22506115510718,31.7950373449384,15.1683708696059,16.6266664753325,0.000148256885418328,0.0346709316328291
ESAM,5.59128025182393,32.2115029372132,15.610778760698,16.6007241765151,0.000223802189587534,0.0435586271704715
MMRN1,4.38770487204836,30.1439328711518,13.7842734406349,16.3596594305169,4.46976769160296e-05,0.0195120258964108
NEXN,4.7191059151952,30.6091977415219,14.3910034220869,16.218194319435,9.95775014537807e-05,0.0283492817182329
ACRBP,5.90401057508079,31.9236410975159,15.9031918009225,16.0204492965934,0.000441603728094794,0.0608917176933921
GP1BA,4.5575816014679,30.1203225587278,14.1048013553478,16.01552120338,8.90758726560497e-05,0.0269200991146991
SRGN,5.14354927969231,31.043468669689,15.0558865365461,15.9875821331428,0.000228096222290075,0.0435586271704715
LY6G6F,3.66361068082795,28.1674373966197,12.2057445869817,15.961692809638,7.91740777931178e-06,0.00576035401543706
C21orf7,5.32494473151131,31.2584446442132,15.2981596633259,15.9602849808873,0.000286757195572902,0.0483801773737682
ABCC3,4.65126469331208,30.0083058870582,14.2727813077034,15.7355245793548,0.000136706514284382,0.0338805091871837
GFI1B,4.61836178072573,29.9145450574801,14.214565168373,15.6999798891071,0.000133218729444986,0.0338805091871837
PTCRA,4.98233217264588,30.4382764176098,14.8203938604945,15.6178825571154,0.000252024207159953,0.0458227657167439
NFE2,6.40639818309721,31.8464312001255,16.2551616272147,15.5912695729108,0.000772350710538872,0.0815702008485248
TUBA4A,7.31334389371998,32.1419196196954,16.5549177980295,15.5870018216659,0.000941879364434771,0.0875775816012227
TUBA8,4.22938015984969,28.8566684084652,13.4653098287752,15.3913585796901,8.06050319618269e-05,0.0263907777237631
LAT,5.53694079879654,30.9205785910058,15.5516515532812,15.3689270377246,0.000552784916784888,0.0678681681582647
CLDN5,4.16660374503122,28.5087845526277,13.3341415148471,15.1746430377806,8.61186768269477e-05,0.0268526236125168
ALOX12,3.89062899498112,27.8659938520537,12.7308010650348,15.1351927870189,4.34722549785405e-05,0.0194083858363284
FERMT3,6.48167858999233,31.2951106852283,16.297503403417,14.9976072818113,0.00119202313306844,0.0992207729915103
TMEM40,5.95178293383003,30.9015272706064,15.9427537917802,14.9587734788263,0.000976673903526989,0.0879440630610781
FYB,5.52252229811879,30.4436143746718,15.5351628980869,14.9084514765849,0.00076797572587314,0.0815465684273079
CD226,4.29484644242565,28.4433328020453,13.5992477789387,14.8440850231065,0.00015720326721369,0.0350920566039287
P2RX1,4.60298915926139,29.003335602266,14.186932264526,14.81640333774,0.000282970283909088,0.0483362457140011
MFAP3L,5.01894304561917,29.4751290763983,14.8755553849764,14.5995736914219,0.000598219087823568,0.070830438402811
MYLK,5.15341474097536,29.4825671443736,15.0698965133784,14.4126706309951,0.000796983700507268,0.0820223224092691
DNM3,5.33407940962838,29.7004179538992,15.3092202864257,14.3911976674735,0.000957764036559533,0.0876744892057472
PTGIR,4.03343919853121,27.4354419886547,13.0485879879779,14.3868540006767,0.000136574442456538,0.0338805091871837
TAL1,5.18588418958258,29.4319338030208,15.1151664177827,14.3167673852381,0.000884174453727902,0.0864115570598552
