#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARV1	ESRP1	9606.ENSP00000312458	9606.ENSP00000405738	0	0	0	0	0.066	0	0	0.403	0.419
BOD1L1	WRNIP1	9606.ENSP00000040738	9606.ENSP00000370150	0	0	0	0	0.053	0	0	0.670	0.674
CLDN23	CLDN8	9606.ENSP00000428780	9606.ENSP00000382783	0	0	0	0.634	0.064	0	0.600	0.550	0.685
CTGF	IGFBP5	9606.ENSP00000356954	9606.ENSP00000233813	0	0	0	0	0.196	0	0	0.423	0.516
CTGF	TIMP2	9606.ENSP00000356954	9606.ENSP00000262768	0	0	0	0	0.133	0	0	0.565	0.607
CTGF	PLAU	9606.ENSP00000356954	9606.ENSP00000361850	0	0	0	0	0.098	0	0	0.390	0.426
CTGF	MYC	9606.ENSP00000356954	9606.ENSP00000479618	0	0	0	0	0.062	0	0	0.520	0.531
DUSP2	DUSP6	9606.ENSP00000288943	9606.ENSP00000279488	0	0	0	0.824	0	0	0.900	0.680	0.911
DUSP2	EPM2A	9606.ENSP00000288943	9606.ENSP00000356489	0	0	0	0	0	0	0	0.445	0.445
DUSP6	EPM2A	9606.ENSP00000279488	9606.ENSP00000356489	0	0	0	0	0	0	0	0.404	0.404
DUSP6	MYC	9606.ENSP00000279488	9606.ENSP00000479618	0	0	0	0	0.060	0.058	0	0.390	0.412
EPM2A	MYC	9606.ENSP00000356489	9606.ENSP00000479618	0	0	0	0	0.060	0.064	0	0.457	0.481
FAIM2	NRXN3	9606.ENSP00000321951	9606.ENSP00000451648	0	0	0	0	0.230	0	0	0.503	0.601
FAM179B	KLHL28	9606.ENSP00000355045	9606.ENSP00000379434	0	0	0	0	0.073	0	0	0.760	0.768
GNA14	SH3BP5L	9606.ENSP00000365807	9606.ENSP00000355428	0	0	0	0	0	0	0	0.509	0.509
GOT2	ME1	9606.ENSP00000245206	9606.ENSP00000358719	0	0	0	0	0.063	0	0	0.508	0.519
HOXB2	PBX1	9606.ENSP00000331741	9606.ENSP00000405890	0	0	0	0	0	0.256	0	0.502	0.614
IGFBP5	STC2	9606.ENSP00000233813	9606.ENSP00000265087	0	0	0	0	0.095	0	0	0.393	0.427
MYC	RBM15	9606.ENSP00000479618	9606.ENSP00000358799	0	0	0	0	0.061	0.259	0	0.445	0.580
MYC	PLAU	9606.ENSP00000479618	9606.ENSP00000361850	0	0	0	0	0.076	0.111	0	0.534	0.583
MYC	PTK2B	9606.ENSP00000479618	9606.ENSP00000380638	0	0	0	0	0	0	0	0.528	0.529
MYC	PBX1	9606.ENSP00000479618	9606.ENSP00000405890	0	0	0	0	0	0	0	0.422	0.422
MYC	YES1	9606.ENSP00000479618	9606.ENSP00000462468	0	0	0	0	0.051	0.129	0	0.352	0.418
PAPSS2	SLC26A2	9606.ENSP00000406157	9606.ENSP00000286298	0	0	0	0	0.105	0	0	0.751	0.768
PLAU	TIMP2	9606.ENSP00000361850	9606.ENSP00000262768	0	0	0	0	0.076	0	0	0.560	0.576
PTK2B	YES1	9606.ENSP00000380638	9606.ENSP00000462468	0	0	0	0.710	0.062	0.184	0.900	0.483	0.927
TEP1	TTC37	9606.ENSP00000262715	9606.ENSP00000351596	0	0	0	0	0.062	0.526	0	0.190	0.608
