ID	Entrez GeneID	Symbol	Name
1/2-SBSRNA4	100533182	1/2-SBSRNA4	SEC24B antisense RNA 1
A1BG	1	A1BG	Alpha-1-B glycoprotein
A1BG-AS1	503538	A1BG-AS1	A1BG antisense RNA 1
A1CF	29974	A1CF	APOBEC1 complementation factor
A2LD1	87769	A2LD1	Gamma-glutamylamine cyclotransferase
A2M	2	A2M	Alpha-2-macroglobulin
A2ML1	144568	A2ML1	Alpha-2-macroglobulin-like 1
A2MP1	3	A2MP1	Alpha-2-macroglobulin pseudogene 1
A4GALT	53947	A4GALT	"Alpha 1,4-galactosyltransferase"
A4GNT	51146	A4GNT	"Alpha-1,4-N-acetylglucosaminyltransferase"
AA06	100506677	AA06	Uncharacterized LOC100506677
AAA1	100329167	AAA1	"aortic aneurysm, familial abdominal 1"
AAAS	8086	AAAS	"Achalasia, adrenocortical insufficiency, alacrimia"
AACS	65985	AACS	Acetoacetyl-CoA synthetase
AACSP1	729522	AACSP1	Acetoacetyl-CoA synthetase pseudogene 1
AADAC	13	AADAC	Arylacetamide deacetylase
AADACL2	344752	AADACL2	Arylacetamide deacetylase-like 2
AADACL3	126767	AADACL3	Arylacetamide deacetylase-like 3
AADACL4	343066	AADACL4	Arylacetamide deacetylase-like 4
AADAT	51166	AADAT	Aminoadipate aminotransferase
AAGAB	79719	AAGAB	Alpha- and gamma-adaptin binding protein
AAK1	22848	AAK1	AP2 associated kinase 1
AAMP	14	AAMP	"Angio-associated, migratory cell protein"
AANAT	15	AANAT	Aralkylamine N-acetyltransferase
AARS	16	AARS	Alanyl-tRNA synthetase
AARS2	57505	AARS2	"Alanyl-tRNA synthetase 2, mitochondrial"
AARSD1	80755	AARSD1	alanyl-tRNA synthetase domain containing 1
AASDH	132949	AASDH	Aminoadipate-semialdehyde dehydrogenase
AASDHPPT	60496	AASDHPPT	Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	10157	AASS	Aminoadipate-semialdehyde synthase
AATF	26574	AATF	Apoptosis antagonizing transcription factor
AATK	9625	AATK	Apoptosis-associated tyrosine kinase
AATK-AS1	388428	AATK-AS1	AATK antisense RNA 1
ABAT	18	ABAT	4-aminobutyrate aminotransferase
ABCA1	19	ABCA1	"ATP-binding cassette, sub-family A (ABC1), member 1"
ABCA10	10349	ABCA10	"ATP-binding cassette, sub-family A (ABC1), member 10"
ABCA11P	79963	ABCA11P	"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"
ABCA12	26154	ABCA12	"ATP-binding cassette, sub-family A (ABC1), member 12"
ABCA13	154664	ABCA13	"ATP-binding cassette, sub-family A (ABC1), member 13"
ABCA17P	650655	ABCA17P	"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene"
ABCA2	20	ABCA2	"ATP-binding cassette, sub-family A (ABC1), member 2"
ABCA3	21	ABCA3	"ATP-binding cassette, sub-family A (ABC1), member 3"
ABCA4	24	ABCA4	"ATP-binding cassette, sub-family A (ABC1), member 4"
ABCA5	23461	ABCA5	"ATP-binding cassette, sub-family A (ABC1), member 5"
ABCA6	23460	ABCA6	"ATP-binding cassette, sub-family A (ABC1), member 6"
ABCA7	10347	ABCA7	"ATP-binding cassette, sub-family A (ABC1), member 7"
ABCA8	10351	ABCA8	"ATP-binding cassette, sub-family A (ABC1), member 8"
ABCA9	10350	ABCA9	"ATP-binding cassette, sub-family A (ABC1), member 9"
ABCB1	5243	ABCB1	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"
ABCB10	23456	ABCB10	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"
ABCB11	8647	ABCB11	"ATP-binding cassette, sub-family B (MDR/TAP), member 11"
ABCB4	5244	ABCB4	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
ABCB5	340273	ABCB5	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"
ABCB6	10058	ABCB6	"ATP-binding cassette, sub-family B (MDR/TAP), member 6"
ABCB7	22	ABCB7	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
ABCB8	11194	ABCB8	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"
ABCB9	23457	ABCB9	"ATP-binding cassette, sub-family B (MDR/TAP), member 9"
ABCC1	4363	ABCC1	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"
ABCC10	89845	ABCC10	"ATP-binding cassette, sub-family C (CFTR/MRP), member 10"
ABCC11	85320	ABCC11	"ATP-binding cassette, sub-family C (CFTR/MRP), member 11"
ABCC12	94160	ABCC12	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"
ABCC13	150000	ABCC13	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene"
ABCC2	1244	ABCC2	"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"
ABCC3	8714	ABCC3	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
ABCC4	10257	ABCC4	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
ABCC5	10057	ABCC5	"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"
ABCC6	368	ABCC6	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"
ABCC6P1	653190	ABCC6P1	"ATP-binding cassette, sub-family C, member 6 pseudogene 1"
ABCC6P2	730013	ABCC6P2	"ATP-binding cassette, sub-family C, member 6 pseudogene 2"
ABCC8	6833	ABCC8	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
ABCC9	10060	ABCC9	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
ABCD1	215	ABCD1	"ATP-binding cassette, sub-family D (ALD), member 1"
ABCD2	225	ABCD2	"ATP-binding cassette, sub-family D (ALD), member 2"
ABCD3	5825	ABCD3	"ATP-binding cassette, sub-family D (ALD), member 3"
ABCD4	5826	ABCD4	"ATP-binding cassette, sub-family D (ALD), member 4"
ABCE1	6059	ABCE1	"ATP-binding cassette, sub-family E (OABP), member 1"
ABCF1	23	ABCF1	"ATP-binding cassette, sub-family F (GCN20), member 1"
ABCF2	10061	ABCF2	"ATP-binding cassette, sub-family F (GCN20), member 2"
ABCF3	55324	ABCF3	"ATP-binding cassette, sub-family F (GCN20), member 3"
ABCG1	9619	ABCG1	"ATP-binding cassette, sub-family G (WHITE), member 1"
ABCG2	9429	ABCG2	"ATP-binding cassette, sub-family G (WHITE), member 2"
ABCG4	64137	ABCG4	"ATP-binding cassette, sub-family G (WHITE), member 4"
ABCG5	64240	ABCG5	"ATP-binding cassette, sub-family G (WHITE), member 5"
ABCG8	64241	ABCG8	"ATP-binding cassette, sub-family G (WHITE), member 8"
ABHD1	84696	ABHD1	Abhydrolase domain containing 1
ABHD10	55347	ABHD10	Abhydrolase domain containing 10
ABHD11	83451	ABHD11	Abhydrolase domain containing 11
ABHD11-AS1	171022	ABHD11-AS1	Long intergenic non-protein coding RNA 35
ABHD12	26090	ABHD12	Abhydrolase domain containing 12
ABHD12B	145447	ABHD12B	Abhydrolase domain containing 12B
ABHD13	84945	ABHD13	Abhydrolase domain containing 13
ABHD14A	25864	ABHD14A	Abhydrolase domain containing 14A
ABHD14A-ACY1	100526760	ABHD14A-ACY1	ABHD14A-ACY1 readthrough (NMD candidate)
ABHD14B	84836	ABHD14B	Abhydrolase domain containing 14B
ABHD15	116236	ABHD15	Abhydrolase domain containing 15
ABHD16A	7920	ABHD16A	Abhydrolase domain containing 16A
ABHD16B	140701	ABHD16B	Abhydrolase domain containing 16B
ABHD2	11057	ABHD2	Abhydrolase domain containing 2
ABHD3	171586	ABHD3	Abhydrolase domain containing 3
ABHD4	63874	ABHD4	Abhydrolase domain containing 4
ABHD5	51099	ABHD5	Abhydrolase domain containing 5
ABHD6	57406	ABHD6	Abhydrolase domain containing 6
ABHD8	79575	ABHD8	Abhydrolase domain containing 8
ABI1	10006	ABI1	Abl-interactor 1
ABI2	10152	ABI2	Abl-interactor 2
ABI3	51225	ABI3	"ABI family, member 3"
ABI3BP	25890	ABI3BP	"ABI family, member 3 (NESH) binding protein"
ABL1	25	ABL1	"C-abl oncogene 1, non-receptor tyrosine kinase"
ABL2	27	ABL2	V-abl Abelson murine leukemia viral oncogene homolog 2
ABLIM1	3983	ABLIM1	Actin binding LIM protein 1
ABLIM2	84448	ABLIM2	"Actin binding LIM protein family, member 2"
ABLIM3	22885	ABLIM3	"Actin binding LIM protein family, member 3"
ABO	28	ABO	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
ABP1	26 /// 28988	ABP1	Amiloride binding protein 1 (amine oxidase (copper-containing)) /// Drebrin-like
ABR	29	ABR	Active BCR-related
ABRA	137735	ABRA	Actin-binding Rho activating protein
ABT1	29777	ABT1	Activator of basal transcription 1
ABTB1	80325	ABTB1	Ankyrin repeat and BTB (POZ) domain containing 1
ABTB2	25841	ABTB2	Ankyrin repeat and BTB (POZ) domain containing 2
ACAA1	30	ACAA1	Acetyl-CoA acyltransferase 1
ACAA2	10449	ACAA2	Acetyl-CoA acyltransferase 2
ACACA	31	ACACA	Acetyl-CoA carboxylase alpha
ACACB	32	ACACB	Acetyl-CoA carboxylase beta
ACAD10	80724	ACAD10	"Acyl-CoA dehydrogenase family, member 10"
ACAD11	84129	ACAD11	"Acyl-CoA dehydrogenase family, member 11"
ACAD8	27034	ACAD8	"Acyl-CoA dehydrogenase family, member 8"
ACAD9	28976	ACAD9	"Acyl-CoA dehydrogenase family, member 9"
ACADL	33	ACADL	"Acyl-CoA dehydrogenase, long chain"
ACADM	34	ACADM	"Acyl-CoA dehydrogenase, C-4 to C-12 straight chain"
ACADS	35	ACADS	"Acyl-CoA dehydrogenase, C-2 to C-3 short chain"
ACADSB	36	ACADSB	"Acyl-CoA dehydrogenase, short/branched chain"
ACADVL	37	ACADVL	"Acyl-CoA dehydrogenase, very long chain"
ACAN	176	ACAN	Aggrecan
ACAP1	9744	ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"
ACAP2	23527	ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
ACAP3	116983	ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
ACAT1	38	ACAT1	Acetyl-CoA acetyltransferase 1
ACAT2	39	ACAT2	Acetyl-CoA acetyltransferase 2
ACBD3	64746	ACBD3	Acyl-CoA binding domain containing 3
ACBD4	79777	ACBD4	Acyl-CoA binding domain containing 4
ACBD5	91452	ACBD5	Acyl-CoA binding domain containing 5
ACBD6	84320	ACBD6	Acyl-CoA binding domain containing 6
ACBD7	414149	ACBD7	Acyl-CoA binding domain containing 7
ACCN1	40	ACCN1	Acid-sensing (proton-gated) ion channel 2
ACCN2	41	ACCN2	Acid-sensing (proton-gated) ion channel 1
