,Patient#1_CL#1,Patient#1_SC#1,Patient#2_SC#1,Patient#3_SC#1,Patient#4_SC#1,Patient#5_SC#1,Patient#2_CL#1,Patient#5_SC#2,Patient#6_CL#1,Patient#6_SC#1,Patient#7_CL#1,Patient#7_SC#2,Patient#8_SC#1,Patient#9_CL#1,Patient#9_SC#1,Patient#7_SC#1,Patient#5_CL#1,Patient#4_SC#1,Patient#4_CL#3,Patient#4_CL#1,Patient#4_CL#2,Patient#3_CL#1,Patient#10_SC#1,Patient#10_CL#1,Patient#10_CL#2,Patient#8_CL#1,Patient#8_CL#2,Patient#8_SC#2,Patient#8_SC#3
eg:1:chr19:m,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,17,0,1,9,0,0,1,48,0,1
eg:10:chr8:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0
eg:100:chr20:m,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,41,0,1,52,6,3
eg:1000:chr18:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
eg:10000:chr1:m,11,0,1,0,2,0,7,0,2,1,1,3,6061,12635,37,1826,0,0,1,0,14,1,0,0,74,2,2,0,13
eg:100008587:chrUn_gl000220:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:100009676:chr3:p,0,0,0,0,0,1,0,0,0,0,2,0,40,0,0,55,0,0,0,2,0,0,11,0,0,1,0,0,0
eg:10001:chr14:m,0,0,0,0,2,1,2,3,3,0,0,0,0,0,0,1,1,0,15,3,0,6,142,9,0,0,2,1,3
eg:10002:chr15:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:10003:chr11:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
