Gene start (bp),Gene end (bp),Gene % GC content,Gene name,Gene type
9067664,9116229,37.18,A2M,protein_coding
42692121,42721298,52.39,A4GALT,protein_coding
12716110,12728760,46.11,AADACL3,protein_coding
67200667,67255195,39.47,AAGAB,protein_coding
56338287,56387508,38.98,AASDH,protein_coding
81110487,81166221,61.51,AATK,protein_coding
8674596,8784575,47.34,ABAT,protein_coding
69147214,69244846,36.13,ABCA10,protein_coding
425435,474129,39.69,ABCA11P,transcribed_processed_pseudogene
214931542,215138626,37.18,ABCA12,protein_coding
48171458,48647497,38.84,ABCA13,protein_coding
2339150,2426699,43.85,ABCA17P,transcribed_unitary_pseudogene
2275881,2340746,53.03,ABCA3,protein_coding
93992834,94121148,46.44,ABCA4,protein_coding
69078702,69141895,36.30,ABCA6,protein_coding
68974488,69060949,37.68,ABCA9,protein_coding
219209772,219218994,54.45,ABCB6,protein_coding
75051048,75156732,36.00,ABCB7,protein_coding
16034690,16228109,48.47,ABCC1,protein_coding
15949138,16143257,48.52,ABCC1,protein_coding
43427366,43450427,52.94,ABCC10,protein_coding
48165773,48247568,45.60,ABCC11,protein_coding
50634777,50692253,51.95,ABCC3,protein_coding
95019835,95301475,42.34,ABCC4,protein_coding
153724856,153744755,58.35,ABCD1,protein_coding
74285269,74303055,51.39,ABCD4,protein_coding
184186023,184194012,51.95,ABCF3,protein_coding
88090150,88231628,41.38,ABCG2,protein_coding
108218392,108234243,35.41,ABHD13,protein_coding
29560547,29567037,52.60,ABHD15,protein_coding
89087459,89202355,44.01,ABHD2,protein_coding
22598237,22613215,48.25,ABHD4,protein_coding
43690108,43734371,40.26,ABHD5,protein_coding
26746593,26861087,38.44,ABI1,protein_coding
203328280,203447728,39.49,ABI2,protein_coding
7965310,8158832,54.00,ABLIM2,protein_coding
149141483,149260542,44.42,ABLIM3,protein_coding
133255585,133275349,48.81,ABO,protein_coding
133233278,133276024,50.14,ABO,protein_coding
1003519,1116206,56.63,ABR,protein_coding
1003519,1192547,55.87,ABR,protein_coding
1003519,1229738,55.27,ABR,protein_coding
26596953,26600739,47.72,ABT1,protein_coding
127672935,127680926,60.37,ABTB1,protein_coding
49782164,49813953,39.53,ACAA2,protein_coding
109116595,109268226,46.78,ACACB,protein_coding
111686053,111757107,47.12,ACAD10,protein_coding
132558138,132660082,37.44,ACAD11,protein_coding
128879596,128924003,48.09,ACAD9,protein_coding
75724431,75787575,40.40,ACADM,protein_coding
88803436,88875353,50.27,ACAN,protein_coding
195274745,195443044,38.17,ACAP2,protein_coding
108116695,108147603,43.08,ACAT1,protein_coding
45132600,45144181,54.45,ACBD4,protein_coding
27168135,27243046,41.24,ACBD5,protein_coding
180269653,180502954,37.67,ACBD6,protein_coding
15075475,15088776,45.19,ACBD7,protein_coding
44065925,44084237,49.01,ACCS,protein_coding
67657512,67660815,62.02,ACD,protein_coding
76860859,77026797,38.74,ACER3,protein_coding
100889994,100896974,64.49,ACHE,protein_coding
32384603,32454769,41.71,ACO1,protein_coding
41447830,41529273,49.69,ACO2,protein_coding
24667035,24705065,41.43,ACOT13,protein_coding
73591873,73595766,48.25,ACOT4,protein_coding
73610945,73619888,47.45,ACOT6,protein_coding
58505136,58537283,47.21,ACOX2,protein_coding
8366282,8440723,51.93,ACOX3,protein_coding
47239302,47248906,52.75,ACP2,protein_coding
11574660,11579008,58.59,ACP5,protein_coding
6638075,6647433,51.64,ACRBP,protein_coding
50426158,50474845,49.96,ACSF2,protein_coding
89088375,89164121,55.16,ACSF3,protein_coding
222860942,222944639,39.46,ACSL3,protein_coding
109624244,109733403,39.16,ACSL4,protein_coding
20623235,20698890,40.47,ACSM1,protein_coding
20610243,20797581,41.08,ACSM3,protein_coding
25006230,25058980,52.00,ACSS1,protein_coding
34872146,34927962,45.42,ACSS2,protein_coding
229430365,229434104,60.51,ACTA1,protein_coding
88935074,88991339,40.29,ACTA2,protein_coding
5526409,5563902,56.77,ACTB,protein_coding
81509413,81523847,60.66,ACTG1,protein_coding
103569553,103570674,54.63,ACTG1P4,processed_pseudogene
73892314,73919865,45.18,ACTG2,protein_coding
100643097,100656448,53.08,ACTL6B,protein_coding
68874128,68979440,50.81,ACTN1,protein_coding
152759749,152855378,43.36,ACTR3B,protein_coding
157736251,157876330,40.42,ACVR1,protein_coding
51951699,51997078,44.80,ACVR1B,protein_coding
147844517,147930826,35.46,ACVR2A,protein_coding
38453890,38493142,47.63,ACVR2B,protein_coding
51983340,51989197,57.27,ACY1,protein_coding
58588809,58749791,37.34,ADAM10,protein_coding
9488486,9556732,41.31,ADAM17,protein_coding
206443532,206621127,38.27,ADAM23,protein_coding
39106990,39284943,37.70,ADAM32,protein_coding
39106990,39284917,37.69,ADAM32,protein_coding
133262420,133276868,63.79,ADAM8,protein_coding
39101863,39105144,33.58,ADAM9,protein_coding
38996754,39105445,37.50,ADAM9,protein_coding
130448645,130476645,51.86,ADAMTS15,protein_coding
26917922,26967088,38.46,ADAMTS5,protein_coding
64515654,64688000,40.09,ADAMTS9,protein_coding
1505022,1513604,60.93,ADAMTSL5,protein_coding
45073853,45226560,45.43,ADARB1,protein_coding
1177313,1737525,47.83,ADARB2,protein_coding
75596868,75623300,44.58,ADAT1,protein_coding
143422832,143450695,38.38,ADAT2,protein_coding
140672945,140696261,50.77,ADCK2,protein_coding
45574140,45723116,47.64,ADCY1,protein_coding
24819169,24920237,51.12,ADCY3,protein_coding
123282296,123449090,51.17,ADCY5,protein_coding
48766194,48789089,54.42,ADCY6,protein_coding
50246137,50318135,54.43,ADCY7,protein_coding
70607618,70768225,44.81,ADD2,protein_coding
109996368,110135565,38.65,ADD3,protein_coding
202940826,202958572,44.28,ADIPOR1,protein_coding
1688574,1788674,39.40,ADIPOR2,protein_coding
1688574,1788674,39.40,ADIPOR2,protein_coding
10305073,10307397,58.97,ADM,protein_coding
50888916,50931437,41.67,ADNP,protein_coding
80109262,80147523,41.68,ADNP2,protein_coding
62804720,62808479,48.48,ADO,protein_coding
24417879,24442357,59.24,ADORA2A,protein_coding
15945130,15975746,49.68,ADORA2B,protein_coding
111499429,111503633,39.38,ADORA3,protein_coding
26748150,26867278,41.26,ADRA1A,protein_coding
111077029,111080907,59.71,ADRA2A,protein_coding
19404045,19720801,40.33,AEBP2,protein_coding
88621337,88632281,51.37,AEN,protein_coding
7758714,7939926,46.39,AFAP1,protein_coding
7754077,7778928,52.90,AFAP1-AS1,lncRNA
149271859,149343637,46.21,AFAP1L1,protein_coding
114294824,114404756,48.26,AFAP1L2,protein_coding
86935002,87141039,41.18,AFF1,protein_coding
99545419,100192428,41.69,AFF3,protein_coding
12328944,12377227,44.64,AFG3L2,protein_coding
87001636,87009905,42.04,AGAP11,transcribed_unprocessed_pseudogene
57723761,57742157,57.66,AGAP2,protein_coding
151085831,151144436,57.73,AGAP3,protein_coding
77029251,77065234,39.02,AGGF1,protein_coding
