ID,Entrez GeneID,uniGene,symbol,name,hg19 knownGene ID
eg:1:chr19:m,1,Hs.529161,A1BG,Alpha-1-B glycoprotein,
eg:10:chr8:p,10,Hs.2,NAT2,N-acetyltransferase 2 (arylamine N-acetyltransferase),
eg:100:chr20:m,100,Hs.654536,ADA,Adenosine deaminase,
eg:1000:chr18:m,1000,Hs.464829,CDH2,"Cadherin 2, type 1, N-cadherin (neuronal)",
eg:10000:chr1:m,10000,Hs.498292,AKT3,"V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)",
eg:100008587:chrUn_gl000220:p,100008587,,RN5-8S1,"RNA, 5.8S ribosomal 1",
eg:100009676:chr3:p,100009676,Hs.740439,LOC100009676,Uncharacterized LOC100009676,
eg:10001:chr14:m,10001,Hs.497353,MED6,Mediator complex subunit 6,
eg:10002:chr15:p,10002,Hs.187354,NR2E3,"Nuclear receptor subfamily 2, group E, member 3",
eg:10003:chr11:p,10003,Hs.503560,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,
eg:100033413:chr15:p,100033413,,SNORD116-1,"small nucleolar RNA, C/D box 116-1",
eg:100033414:chr15:p,100033414,,SNORD116-2,"small nucleolar RNA, C/D box 116-2",
eg:100033415:chr15:p,100033415,,SNORD116-3,"small nucleolar RNA, C/D box 116-3",
eg:100033416:chr15:p,100033416,,SNORD116-4,"small nucleolar RNA, C/D box 116-4",
eg:100033417:chr15:p,100033417,,SNORD116-5,"small nucleolar RNA, C/D box 116-5",
eg:100033420:chr15:p,100033420,,SNORD116-8,"small nucleolar RNA, C/D box 116-8",
eg:100033422:chr15:p,100033422,,SNORD116-10,"small nucleolar RNA, C/D box 116-10",
eg:100033423:chr15:p,100033423,,SNORD116-11,"small nucleolar RNA, C/D box 116-11",
eg:100033424:chr15:p,100033424,,SNORD116-12,"small nucleolar RNA, C/D box 116-12",
eg:100033425:chr15:p,100033425,,SNORD116-13,"small nucleolar RNA, C/D box 116-13",
eg:100033426:chr15:p,100033426,,SNORD116-14,"small nucleolar RNA, C/D box 116-14",
eg:100033427:chr15:p,100033427,,SNORD116-15,"small nucleolar RNA, C/D box 116-15",
eg:100033428:chr15:p,100033428,,SNORD116-16,"small nucleolar RNA, C/D box 116-16",
eg:100033430:chr15:p,100033430,,SNORD116-18,"small nucleolar RNA, C/D box 116-18",
eg:100033431:chr15:p,100033431,,SNORD116-20,"small nucleolar RNA, C/D box 116-20",
eg:100033433:chr15:p,100033433,,SNORD116-22,"small nucleolar RNA, C/D box 116-22",
eg:100033434:chr15:p,100033434,,SNORD116-23,"small nucleolar RNA, C/D box 116-23",
eg:100033435:chr15:p,100033435,,SNORD116-24,"small nucleolar RNA, C/D box 116-24",
eg:100033436:chr15:p,100033436,,SNORD116-25,"small nucleolar RNA, C/D box 116-25",
eg:100033437:chr15:p,100033437,,SNORD115-2,"small nucleolar RNA, C/D box 115-2",
eg:100033438:chr15:p,100033438,,SNORD116-26,"small nucleolar RNA, C/D box 116-26",
eg:100033439:chr15:p,100033439,,SNORD116-27,"small nucleolar RNA, C/D box 116-27",
eg:100033440:chr15:p,100033440,,SNORD115-3,"small nucleolar RNA, C/D box 115-3",
eg:100033441:chr15:p,100033441,,SNORD115-4,"small nucleolar RNA, C/D box 115-4",
eg:100033442:chr15:p,100033442,,SNORD115-5,"small nucleolar RNA, C/D box 115-5",
eg:100033443:chr15:p,100033443,,SNORD115-6,"small nucleolar RNA, C/D box 115-6",
eg:100033444:chr15:p,100033444,,SNORD115-7,"small nucleolar RNA, C/D box 115-7",
eg:100033445:chr15:p,100033445,,SNORD115-8,"small nucleolar RNA, C/D box 115-8",
