#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC11	GLYATL2	9606.ENSP00000378230	9606.ENSP00000287275	0	0	0	0	0	0	0	0.613	0.613
AIF1L	EVA1C	9606.ENSP00000361383	9606.ENSP00000300255	0	0	0	0	0	0	0	0.475	0.475
APOD	AZGP1	9606.ENSP00000345179	9606.ENSP00000292401	0	0	0	0	0.111	0	0	0.572	0.603
ASL	HADH	9606.ENSP00000307188	9606.ENSP00000474560	0	0	0	0	0.064	0	0	0.783	0.788
AZGP1	CRISP3	9606.ENSP00000292401	9606.ENSP00000389026	0	0	0	0	0	0	0	0.415	0.415
AZGP1	LRG1	9606.ENSP00000292401	9606.ENSP00000302621	0	0	0	0	0.063	0	0	0.470	0.482
BLCAP	FLNA	9606.ENSP00000397172	9606.ENSP00000358866	0	0	0	0	0	0	0	0.531	0.531
CDC45	RPA1	9606.ENSP00000405726	9606.ENSP00000254719	0	0	0	0	0.464	0.172	0.600	0.708	0.941
CDC45	RRM2	9606.ENSP00000405726	9606.ENSP00000353770	0	0	0	0	0.898	0	0	0.355	0.932
CDC45	UBE2T	9606.ENSP00000405726	9606.ENSP00000356243	0	0	0	0	0.673	0	0	0.249	0.744
CDC45	SLBP	9606.ENSP00000405726	9606.ENSP00000417686	0	0	0	0	0.563	0	0	0.238	0.653
CDC45	RECQL4	9606.ENSP00000405726	9606.ENSP00000482313	0	0	0	0	0.409	0.486	0	0.895	0.965
CYR61	EPHA2	9606.ENSP00000398736	9606.ENSP00000351209	0	0	0	0	0.331	0	0	0.256	0.481
CYR61	TGFB2	9606.ENSP00000398736	9606.ENSP00000355896	0	0	0	0	0.152	0	0	0.322	0.400
EVA1C	RCAN1	9606.ENSP00000300255	9606.ENSP00000370527	0	0	0	0	0.052	0	0	0.503	0.508
GTPBP4	XPO1	9606.ENSP00000354040	9606.ENSP00000384863	0	0	0	0	0.117	0.056	0	0.438	0.491
HADH	PTPLAD1	9606.ENSP00000474560	9606.ENSP00000261875	0	0	0	0	0.083	0	0	0.583	0.601
HADH	HMGCS2	9606.ENSP00000474560	9606.ENSP00000358414	0	0	0	0	0.062	0	0	0.392	0.405
HADH	SCD	9606.ENSP00000474560	9606.ENSP00000359380	0	0	0	0	0.062	0	0	0.557	0.567
HIST1H2BK	RPA1	9606.ENSP00000349430	9606.ENSP00000254719	0	0	0	0	0.062	0.165	0.600	0.047	0.661
HIST1H2BK	RNF20	9606.ENSP00000349430	9606.ENSP00000373772	0	0	0	0	0	0.150	0.600	0.315	0.747
HMGCS2	SCD	9606.ENSP00000358414	9606.ENSP00000359380	0	0	0	0	0.062	0	0	0.443	0.455
MED23	RNF20	9606.ENSP00000357047	9606.ENSP00000373772	0	0	0	0	0.162	0.062	0	0.679	0.726
PAPSS2	UGDH	9606.ENSP00000406157	9606.ENSP00000319501	0.219	0	0	0	0.080	0	0	0.334	0.480
PAPSS2	XPO1	9606.ENSP00000406157	9606.ENSP00000384863	0	0	0	0	0	0	0	0.417	0.416
PTPLAD1	SCD	9606.ENSP00000261875	9606.ENSP00000359380	0	0	0	0	0.233	0.056	0.800	0.148	0.860
RBBP6	RNF20	9606.ENSP00000317872	9606.ENSP00000373772	0	0	0	0	0.068	0	0	0.388	0.405
RECQL4	RPA1	9606.ENSP00000482313	9606.ENSP00000254719	0	0	0	0	0.088	0.652	0	0.482	0.821
RNF20	UBE2T	9606.ENSP00000373772	9606.ENSP00000356243	0	0	0	0	0.080	0.249	0	0.251	0.437
RPA1	SLBP	9606.ENSP00000254719	9606.ENSP00000417686	0	0	0	0	0.546	0	0	0	0.546
RPA1	RRM2	9606.ENSP00000254719	9606.ENSP00000353770	0	0	0	0	0.520	0.068	0	0.150	0.587
RPA1	UBE2T	9606.ENSP00000254719	9606.ENSP00000356243	0	0	0	0	0.111	0	0.900	0.107	0.913
RRM2	SLBP	9606.ENSP00000353770	9606.ENSP00000417686	0	0	0	0	0.548	0	0	0.293	0.667
RRM2	UBE2T	9606.ENSP00000353770	9606.ENSP00000356243	0	0	0	0	0.687	0.062	0	0.254	0.762
SCGB1D2	SCGB2A2	9606.ENSP00000244926	9606.ENSP00000227918	0	0	0	0	0.867	0.213	0	0.822	0.979
